iter	Passed	Remaining
0	66	66236
1	74	36944
2	74	24695
3	74	18572
4	74	14898
5	75	12447
6	81	11596
7	82	10171
8	82	9061
9	82	8172
10	82	7446
11	83	6840
12	83	6327
13	83	5900
14	84	5535
15	84	5218
16	85	4935
17	85	4681
18	86	4453
19	86	4248
20	87	4062
21	87	3893
22	88	3739
23	88	3597
24	88	3468
25	96	3621
26	96	3493
27	97	3374
28	97	3263
29	97	3160
30	97	3063
31	98	2972
32	98	2886
33	99	2824
34	99	2753
35	100	2686
36	100	2622
37	101	2562
38	101	2504
39	102	2450
40	102	2398
41	102	2349
42	103	2302
43	103	2256
44	104	2213
45	104	2171
46	104	2128
47	105	2086
48	105	2047
49	105	2009
50	106	1972
51	106	1937
52	106	1903
53	106	1870
54	107	1839
55	107	1808
56	107	1779
57	107	1751
58	108	1723
59	110	1724
60	110	1698
61	110	1673
62	110	1648
63	111	1624
64	111	1601
65	111	1579
66	111	1557
67	111	1534
68	112	1514
69	112	1494
70	112	1475
71	112	1456
72	113	1438
73	113	1420
74	113	1403
75	114	1386
76	114	1369
77	114	1354
78	114	1338
79	115	1323
80	115	1308
81	115	1293
82	115	1279
83	116	1265
84	116	1250
85	116	1237
86	116	1223
87	116	1210
88	117	1198
89	117	1186
90	117	1174
91	117	1163
92	118	1151
93	118	1140
94	118	1130
95	118	1119
96	119	1109
97	119	1098
98	119	1088
99	119	1079
100	120	1069
101	120	1058
102	120	1049
103	120	1040
104	120	1031
105	121	1022
106	121	1013
107	121	1005
108	121	997
109	122	989
110	122	981
111	122	973
112	123	965
113	123	957
114	123	950
115	123	942
116	123	935
117	124	928
118	124	920
119	124	913
120	124	907
121	125	900
122	125	892
123	125	885
124	125	879
125	125	873
126	126	867
127	126	860
128	126	854
129	126	848
130	127	842
131	127	837
132	127	831
133	127	825
134	128	820
135	128	814
136	128	809
137	128	803
138	128	798
139	129	793
140	129	788
141	129	783
142	129	778
143	130	773
144	130	770
145	131	766
146	131	763
147	131	759
148	132	756
149	132	752
150	133	748
151	133	743
152	133	739
153	133	735
154	134	730
155	134	726
156	134	722
157	134	718
158	135	714
159	135	710
160	135	706
161	135	702
162	136	698
163	136	694
164	136	690
165	136	687
166	137	683
167	137	679
168	137	676
169	137	672
170	138	669
171	138	665
172	138	662
173	138	658
174	139	655
175	139	652
176	139	648
177	139	645
178	140	642
179	140	639
180	140	635
181	140	632
182	140	629
183	141	626
184	141	623
185	141	619
186	141	617
187	142	614
188	142	611
189	142	608
190	142	605
191	143	602
192	143	599
193	143	596
194	143	594
195	144	591
196	144	588
197	144	586
198	144	583
199	145	580
200	145	578
201	145	575
202	145	572
203	146	570
204	146	567
205	146	565
206	146	562
207	147	560
208	147	558
209	147	555
210	147	553
211	148	551
212	148	549
213	149	548
214	149	546
215	150	544
216	150	543
217	150	541
218	155	553
219	155	551
220	155	548
221	155	546
222	156	544
223	156	542
224	156	539
225	156	537
226	157	535
227	157	533
228	157	530
229	157	528
230	158	526
231	158	524
232	158	522
233	158	520
234	159	518
235	159	516
236	159	514
237	159	512
238	160	510
239	160	508
240	160	506
241	160	504
242	161	502
243	161	500
244	161	498
245	161	496
246	162	494
247	162	492
248	162	490
249	162	488
250	163	487
251	163	485
252	163	483
